,game_id,move_color,move,evaluation,event,site,date,round,white,white_elo,black,black_elo,result,eco,opening_name
0,2014_Carlsen_Anand_game1,white,d4,0.25,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
1,2014_Carlsen_Anand_game1,black,Nf6,0.34,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
2,2014_Carlsen_Anand_game1,white,c4,0.38,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
3,2014_Carlsen_Anand_game1,black,g6,0.38,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
4,2014_Carlsen_Anand_game1,white,Nc3,0.59,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
5,2014_Carlsen_Anand_game1,black,d5,0.46,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
6,2014_Carlsen_Anand_game1,white,cxd5,0.57,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
7,2014_Carlsen_Anand_game1,black,Nxd5,0.43,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
8,2014_Carlsen_Anand_game1,white,Bd2,0.31,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
9,2014_Carlsen_Anand_game1,black,Bg7,0.25,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
10,2014_Carlsen_Anand_game1,white,e4,0.41,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
11,2014_Carlsen_Anand_game1,black,Nxc3,0.5,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
12,2014_Carlsen_Anand_game1,white,Bxc3,0.13,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
13,2014_Carlsen_Anand_game1,black,O-O,0.55,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
14,2014_Carlsen_Anand_game1,white,Qd2,0.49,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
15,2014_Carlsen_Anand_game1,black,Nc6,0.47,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
16,2014_Carlsen_Anand_game1,white,Nf3,0.86,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
17,2014_Carlsen_Anand_game1,black,Bg4,0.13,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
18,2014_Carlsen_Anand_game1,white,d5,0.51,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
19,2014_Carlsen_Anand_game1,black,Bxf3,0.35,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
20,2014_Carlsen_Anand_game1,white,Bxg7,0.05,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
21,2014_Carlsen_Anand_game1,black,Kxg7,0.37,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
22,2014_Carlsen_Anand_game1,white,gxf3,0.09,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
23,2014_Carlsen_Anand_game1,black,Ne5,0.16,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
24,2014_Carlsen_Anand_game1,white,O-O-O,0.27,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
25,2014_Carlsen_Anand_game1,black,c6,0.75,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
26,2014_Carlsen_Anand_game1,white,Qc3,0.5,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
27,2014_Carlsen_Anand_game1,black,f6,0.34,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
28,2014_Carlsen_Anand_game1,white,Bh3,0.28,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
29,2014_Carlsen_Anand_game1,black,cxd5,0.6,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
30,2014_Carlsen_Anand_game1,white,exd5,0.64,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
31,2014_Carlsen_Anand_game1,black,Nf7,0.62,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
32,2014_Carlsen_Anand_game1,white,f4,0.49,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
33,2014_Carlsen_Anand_game1,black,Qd6,0.63,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
34,2014_Carlsen_Anand_game1,white,Qd4,0.43,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
35,2014_Carlsen_Anand_game1,black,Rad8,0.46,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
36,2014_Carlsen_Anand_game1,white,Be6,0.16,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
37,2014_Carlsen_Anand_game1,black,Qb6,0.25,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
38,2014_Carlsen_Anand_game1,white,Qd2,0.25,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
39,2014_Carlsen_Anand_game1,black,Rd6,0.15,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
40,2014_Carlsen_Anand_game1,white,Rhe1,-0.45,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
41,2014_Carlsen_Anand_game1,black,Nd8,-0.3,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
42,2014_Carlsen_Anand_game1,white,f5,-0.53,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
43,2014_Carlsen_Anand_game1,black,Nxe6,-0.37,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
44,2014_Carlsen_Anand_game1,white,Rxe6,-0.48,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
45,2014_Carlsen_Anand_game1,black,Qc7+,-0.46,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
46,2014_Carlsen_Anand_game1,white,Kb1,-0.68,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
47,2014_Carlsen_Anand_game1,black,Rc8,-0.06,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
48,2014_Carlsen_Anand_game1,white,Rde1,0.0,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
49,2014_Carlsen_Anand_game1,black,Rxe6,0.0,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
50,2014_Carlsen_Anand_game1,white,Rxe6,-0.17,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
51,2014_Carlsen_Anand_game1,black,Rd8,0.3,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
52,2014_Carlsen_Anand_game1,white,Qe3,0.0,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
53,2014_Carlsen_Anand_game1,black,Rd7,0.18,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
54,2014_Carlsen_Anand_game1,white,d6,-0.1,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
55,2014_Carlsen_Anand_game1,black,exd6,-0.16,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
56,2014_Carlsen_Anand_game1,white,Qd4,-0.39,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
57,2014_Carlsen_Anand_game1,black,Rf7,-0.5,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
58,2014_Carlsen_Anand_game1,white,fxg6,-0.55,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
59,2014_Carlsen_Anand_game1,black,hxg6,-0.46,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
60,2014_Carlsen_Anand_game1,white,Rxd6,-0.57,Carlsen - Anand World Championship Match,Sochi RUS,2014-11-08,1,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,D85,Grunfeld
