,game_id,move_color,move,evaluation,event,site,date,round,white,white_elo,black,black_elo,result,eco,opening_name
0,2018_Carlsen_Caruana_game13,white,e4,0.33,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
1,2018_Carlsen_Caruana_game13,black,c5,0.47,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
2,2018_Carlsen_Caruana_game13,white,Nf3,0.44,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
3,2018_Carlsen_Caruana_game13,black,e6,0.31,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
4,2018_Carlsen_Caruana_game13,white,c4,0.33,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
5,2018_Carlsen_Caruana_game13,black,Nc6,0.13,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
6,2018_Carlsen_Caruana_game13,white,d4,0.18,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
7,2018_Carlsen_Caruana_game13,black,cxd4,0.23,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
8,2018_Carlsen_Caruana_game13,white,Nxd4,0.16,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
9,2018_Carlsen_Caruana_game13,black,Bc5,0.27,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
10,2018_Carlsen_Caruana_game13,white,Nc2,0.09,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
11,2018_Carlsen_Caruana_game13,black,Nf6,0.16,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
12,2018_Carlsen_Caruana_game13,white,Nc3,-0.03,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
13,2018_Carlsen_Caruana_game13,black,O-O,0.51,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
14,2018_Carlsen_Caruana_game13,white,Be3,0.58,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
15,2018_Carlsen_Caruana_game13,black,b6,0.53,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
16,2018_Carlsen_Caruana_game13,white,Be2,0.13,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
17,2018_Carlsen_Caruana_game13,black,Bb7,0.21,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
18,2018_Carlsen_Caruana_game13,white,O-O,0.0,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
19,2018_Carlsen_Caruana_game13,black,Qe7,0.34,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
20,2018_Carlsen_Caruana_game13,white,Qd2,0.19,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
21,2018_Carlsen_Caruana_game13,black,Rfd8,0.57,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
22,2018_Carlsen_Caruana_game13,white,Rfd1,-0.06,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
23,2018_Carlsen_Caruana_game13,black,Ne5,0.36,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
24,2018_Carlsen_Caruana_game13,white,Bxc5,0.24,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
25,2018_Carlsen_Caruana_game13,black,bxc5,0.25,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
26,2018_Carlsen_Caruana_game13,white,f4,0.35,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
27,2018_Carlsen_Caruana_game13,black,Ng6,0.22,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
28,2018_Carlsen_Caruana_game13,white,Qe3,0.34,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
29,2018_Carlsen_Caruana_game13,black,d6,0.83,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
30,2018_Carlsen_Caruana_game13,white,Rd2,0.8,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
31,2018_Carlsen_Caruana_game13,black,a6,0.71,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
32,2018_Carlsen_Caruana_game13,white,Rad1,0.79,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
33,2018_Carlsen_Caruana_game13,black,Qc7,0.71,Carlsen - Caruana World Championship Match,London ENG,2018-11-28,13.3,Magnus Carlsen,?,Fabiano Caruana,?,1-0,B40,Sicilian
