,game_id,event,site,date,round,white,white_elo,black,black_elo,result,eco,opening_name
0,2013_Anand_Carlsen_game1,Anand - Carlsen World Championship Match,Chennai IND,2013-11-09,1,Magnus Carlsen,2870,Viswanathan Anand,2775,1/2-1/2,A07,King's Indian Attack
1,2013_Anand_Carlsen_game2,Anand - Carlsen World Championship Match,Chennai IND,2013-11-10,2,Viswanathan Anand,2775,Magnus Carlsen,2870,1/2-1/2,B18,"Caro-Kann, Classical"
2,2013_Anand_Carlsen_game3,Anand - Carlsen World Championship Match,Chennai IND,2013-11-12,3,Magnus Carlsen,2870,Viswanathan Anand,2775,1/2-1/2,A07,King's Indian Attack
3,2013_Anand_Carlsen_game4,Anand - Carlsen World Championship Match,Chennai IND,2013-11-13,4,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,C67,Ruy Lopez
4,2013_Anand_Carlsen_game5,Anand - Carlsen World Championship Match,Chennai IND,2013-11-15,5,Magnus Carlsen,?,Viswanathan Anand,?,1-0,D31,Queen's Gambit Declined
5,2013_Anand_Carlsen_game6,Anand - Carlsen World Championship Match,Chennai IND,2013-11-16,6,Viswanathan Anand,?,Magnus Carlsen,?,0-1,C65,"Ruy Lopez, Berlin Defense"
6,2013_Anand_Carlsen_game7,Anand - Carlsen World Championship Match,Chennai IND,2013-11-18,7,Viswanathan Anand,?,Magnus Carlsen,?,1/2-1/2,C65,"Ruy Lopez, Berlin Defense"
7,2013_Anand_Carlsen_game8,Anand - Carlsen World Championship Match,Chennai IND,2013-11-19,8,Magnus Carlsen,?,Viswanathan Anand,?,1/2-1/2,C67,Ruy Lopez
8,2013_Anand_Carlsen_game9,Anand - Carlsen World Championship Match,Chennai IND,2013-11-21,9,Viswanathan Anand,?,Magnus Carlsen,?,0-1,E25,"Nimzo-Indian, Samisch"
9,2013_Anand_Carlsen_game10,Anand - Carlsen World Championship Match,Chennai IND,2013-11-22,10,Magnus Carlsen,?,Viswanathan Anand,?,1/2-1/2,B51,"Sicilian, Canal-Sokolsky (Rossolimo) Attack"
